year, Riyadh,Riyadh, global ,global,,,
1991,25.43,25.6,9.18,9.00,,,
1992,24.37,25.5,8.84,9.03,,,
1993,25.42,25.5,8.87,9.03,,,
1994,26.08,25.4,9.04,9.04,,,
1995,25.64,25.4,9.35,9.06,,,
1996,26.28,25.6,9.04,9.08,,,
1997,25.49,25.5,9.2,9.07,,,
1998,26.73,25.7,9.52,9.12,,,
1999,26.92,26.1,9.29,9.19,,,
2000,26.55,26.2,9.2,9.23,,,
2001,26.67,26.3,9.41,9.29,,,
2002,26.44,26.4,9.57,9.32,,,
2003,26.62,26.5,9.53,9.39,,,
2004,26.2,26.6,9.32,9.41,,,
2005,26.27,26.5,9.7,9.43,,,
2006,26.24,26.4,9.53,9.47,,,
2007,26.49,26.4,9.73,9.54,,Riyadh ,global 
2008,26.21,26.4,9.43,9.54,Moving average,26.83,9.6
2009,26.71,26.4,9.51,9.54,,,
2010,27.37,26.5,9.7,9.56,,,
2011,26.4,26.5,9.52,9.59,,,
2012,26.83,26.6,9.51,9.56,,,
2013,27.78,26.8,9.61,9.57,,,
,,,,,,,
